Code,Date,Price,Max,Min,Volume,BEST
CKBKO,19.10.2021,"100,00","100,00","100,00",250,15.423.750
CKBKO,15.9.2021,"100,00","100,00","100,00",250,15.400.750
CKBKO,19.8.2021,"100,00","100,00","100,00",250,15.374.825
CKBKO,08.7.2021,"100,00","100,00","100,00",250,15.412.175
CKBKO,09.6.2021,"100,00","100,00","100,00",500,30.839.750
CKBKO,10.12.2021,"100,00","100,00","100,00",1.500,92.542.500
EDST,13.10.2022,"61,00","61,00","61,00",861,52.521
EDST,12.10.2022,"61,00","61,00","61,00",1.079,65.819
EDST,29.9.2022,"61,00","61,00","61,00",757,46.177
EDST,28.9.2022,"61,00","61,00","61,00",1.042,63.562
EDST,06.9.2022,"61,00","61,00","61,00",864,52.704
EDST,30.8.2022,"61,00","61,00","61,00",294,17.934
EDST,25.8.2022,"61,00","61,00","61,00",203,12.383
EDST,24.8.2022,"61,00","61,00","61,00",1.391,84.851
EDST,23.8.2022,"61,00","61,00","61,00",1.100,67.100
EDST,15.8.2022,"61,00","61,00","61,00",591,36.051
EDST,29.7.2022,"61,00","61,00","61,00",638,38.918
EDST,21.7.2022,"61,00","61,00","61,00",760,46.360
EDST,20.7.2022,"61,00","61,00","61,00",1.086,66.246
EDST,12.7.2022,"61,00","61,00","61,00",278,16.958
EDST,06.7.2022,"61,00","61,00","61,00",3.216,196.176
EDST,09.6.2022,"61,00","61,00","61,00",5.853,357.033
EDST,08.6.2022,"61,00","61,00","61,00",9.082,554.002
EDST,07.6.2022,"61,00","61,00","61,00",8.791,536.251
EDST,02.6.2022,"61,00","61,00","61,00",545,33.245
EDST,01.6.2022,"61,00","61,00","61,00",707,43.127
EDST,30.5.2022,"61,00","61,00","61,00",2.132,130.052
EDST,26.5.2022,"61,00","61,00","61,00",2.756,168.116
EDST,18.5.2022,"61,00","61,00","61,00",1.129,68.869
EDST,16.5.2022,"61,00","61,00","61,00",5.182,316.102
EDST,12.5.2022,"61,00","61,00","61,00",9.007,549.427
EDST,04.5.2022,"61,00","61,00","61,00",10.706,653.066
EDST,29.4.2022,"61,00","61,00","61,00",5.479,334.219
EDST,28.4.2022,"61,00","61,00","61,00",5.506,335.866
EDST,27.4.2022,"61,00","61,00","61,00",5.117,312.137
EDST,26.4.2022,"61,00","61,00","61,00",5.632,343.552
EDST,21.4.2022,"61,00","61,00","61,00",5.507,335.927
