,Code,Date,Price,Max,Min,Volume,BEST
0,ALK,08.11.2024,"23,299.00","23,400.00","23,010.00",64.0,"1,484,406"
1,ALK,07.11.2024,"23,000.00","23,000.00","22,990.00",130.0,"2,989,691"
2,ALK,06.11.2024,"22,500.00","22,502.00","22,301.00",187.0,"4,204,519"
3,ALK,05.11.2024,"22,300.00","22,300.00","22,298.00",3.434,"76,577,300"
4,ALK,04.11.2024,"22,300.00","22,300.00","22,250.00",408.0,"9,095,944"
5,ALK,01.11.2024,"22,300.00","22,351.00","22,300.00",712.0,"15,889,243"
6,ALK,31.10.2024,"22,250.00","22,310.00","22,250.00",218.0,"4,859,510"
7,ALK,30.10.2024,"22,250.00","22,250.00","22,250.00",86.0,"1,913,500"
8,ALK,29.10.2024,"22,200.00","22,260.00","22,200.00",125.0,"2,781,500"
9,ALK,28.10.2024,"22,300.00","22,350.00","22,250.00",111.0,"2,471,616"
10,ALK,25.10.2024,"22,200.00","22,251.00","22,200.00",339.0,"7,534,525"
11,ALK,24.10.2024,"22,250.00","22,251.00","22,200.00",359.0,"7,985,420"
12,ALK,22.10.2024,"22,250.00","22,500.00","22,200.00",78.0,"1,738,514"
13,ALK,21.10.2024,"22,250.00","22,300.00","22,200.00",298.0,"6,637,780"
14,ALK,18.10.2024,"22,250.00","22,300.00","22,249.00",222.0,"4,940,421"
15,ALK,17.10.2024,"22,250.00","22,296.00","22,160.00",317.0,"7,051,987"
16,ALK,16.10.2024,"22,295.00","22,295.00","22,100.00",74.0,"1,638,428"
17,ALK,15.10.2024,"22,101.00","22,300.00","22,100.00",92.0,"2,046,164"
18,ALK,14.10.2024,"22,300.00","22,350.00","22,300.00",195.0,"4,348,818"
19,ALK,10.10.2024,"22,350.00","22,400.00","22,300.00",177.0,"3,955,508"
20,ALK,09.10.2024,"22,300.00","22,300.00","22,250.00",61.0,"1,359,460"
21,ALK,08.10.2024,"22,300.00","22,300.00","22,155.00",77.0,"1,713,402"
22,ALK,07.10.2024,"22,150.00","22,250.00","22,150.00",78.0,"1,731,944"
23,ALK,04.10.2024,"22,201.00","22,250.00","22,201.00",72.0,"1,601,461"
24,ALK,03.10.2024,"22,250.00","22,300.00","22,250.00",119.0,"2,650,100"
25,ALK,02.10.2024,"22,300.00","22,350.00","22,250.00",225.0,"5,016,620"
26,ALK,01.10.2024,"22,250.00","22,300.00","22,250.00",128.0,"2,853,668"
27,ALK,30.9.2024,"22,300.00","22,303.00","22,300.00",253.0,"5,642,142"
28,ALK,27.9.2024,"22,300.00","22,301.00","22,300.00",77.0,"1,717,130"
29,ALK,26.9.2024,"22,300.00","22,300.00","22,250.00",61.0,"1,359,800"
30,ALK,25.9.2024,"22,222.00","22,300.00","22,222.00",37.0,"823,784"
31,ALK,24.9.2024,"22,300.00","22,300.00","22,250.00",30.0,"668,943"
32,ALK,23.9.2024,"22,299.00","22,300.00","22,200.00",84.0,"1,872,824"
33,ALK,20.9.2024,"22,200.00","22,300.00","22,150.00",61.0,"1,355,250"
34,ALK,19.9.2024,"22,150.00","22,300.00","22,100.00",760.0,"16,831,341"
35,ALK,18.9.2024,"22,310.00","22,350.00","22,300.00",123.0,"2,744,100"
36,ALK,17.9.2024,"22,200.00","22,200.00","22,198.00",162.0,"3,596,227"
37,ALK,16.9.2024,"22,004.00","22,004.00","22,000.00",57.0,"1,254,135"
38,ALK,13.9.2024,"22,399.00","22,700.00","22,151.00",471.0,"10,488,714"
39,ALK,12.9.2024,"22,002.00","22,150.00","22,002.00",184.0,"4,071,324"
40,ALK,11.9.2024,"22,100.00","22,100.00","21,900.00",211.0,"4,641,983"
41,ALK,10.9.2024,"22,000.00","22,000.00","21,963.00",364.0,"8,005,275"
42,ALK,06.9.2024,"21,993.00","21,994.00","21,900.00",367.0,"8,060,173"
43,ALK,05.9.2024,"21,995.00","21,995.00","21,994.00",50.0,"1,099,745"
44,ALK,04.9.2024,"21,995.00","21,995.00","21,900.00",32.0,"701,000"
45,ALK,03.9.2024,"22,000.00","22,000.00","21,899.00",159.0,"3,492,896"
46,ALK,02.9.2024,"21,950.00","22,000.00","21,950.00",145.0,"3,189,048"
47,ALK,30.8.2024,"22,000.00","22,000.00","21,940.00",185.0,"4,068,081"
48,ALK,29.8.2024,"21,940.00","21,999.00","21,900.00",84.0,"1,842,834"
49,ALK,27.8.2024,"21,999.00","21,999.00","21,995.00",198.0,"4,355,331"
50,ALK,26.8.2024,"21,999.00","22,000.00","21,999.00",69.0,"1,517,965"
51,ALK,23.8.2024,"21,999.00","21,999.00","21,990.00",79.0,"1,737,621"
52,ALK,22.8.2024,"22,000.00","22,000.00","21,999.00",222.0,"4,883,870"
53,ALK,21.8.2024,"22,000.00","22,000.00","21,950.00",640.0,"14,077,805"
54,ALK,20.8.2024,"21,999.00","22,050.00","21,998.00",267.0,"5,874,759"
55,ALK,19.8.2024,"22,000.00","22,100.00","22,000.00",35.0,"770,506"
